Class	eid	euri	elabel	tripleNum
Agent	1	http://dbpedia.org/resource/3WAY_FM	3WAY FM	23
Agent	2	http://dbpedia.org/resource/Adrian_Griffin	Adrian Griffin	103
Agent	3	http://dbpedia.org/resource/Andrew_Kippis	Andrew Kippis	57
Agent	4	http://dbpedia.org/resource/Anthony_Beaumont-Dark	Anthony Beaumont-Dark	40
Agent	5	http://dbpedia.org/resource/Dallas_Keuchel	Dallas Keuchel	40
Agent	6	http://dbpedia.org/resource/E._K._Mawlong	E. K. Mawlong	32
Agent	7	http://dbpedia.org/resource/Finn_Schiander	Finn Schiander	47
Agent	8	http://dbpedia.org/resource/Hagar_Wilde	Hagar Wilde	58
Agent	9	http://dbpedia.org/resource/Ludwigsburg_University	Ludwigsburg University	31
Agent	10	http://dbpedia.org/resource/Roderick_Carr	Roderick Carr	90
Event	11	http://dbpedia.org/resource/2009–10_Swiss_Cup	2009–10 Swiss Cup	23
Event	12	http://dbpedia.org/resource/2011_Kor_Royal_Cup	2011 Kor Royal Cup	22
Event	13	http://dbpedia.org/resource/2011_League_of_Ireland_Cup_Final	2011 League of Ireland Cup Final	23
Event	14	http://dbpedia.org/resource/2011_Sparta_Prague_Open	2011 Sparta Prague Open	24
Event	15	http://dbpedia.org/resource/2012–13_UEFA_Champions_League	2012–13 UEFA Champions League	20
Event	16	http://dbpedia.org/resource/Battle_of_Bregalnica	Battle of Bregalnica	51
Event	17	http://dbpedia.org/resource/Battle_of_Rottofreddo	Battle of Rottofreddo	35
Event	18	http://dbpedia.org/resource/Burgery_ambush	Burgery ambush	28
Event	19	http://dbpedia.org/resource/Massacre_on_34th_Street	Massacre on 34th Street	25
Event	20	http://dbpedia.org/resource/Triathlon_at_the_2000_Summer_Olympics_–_Men's	Triathlon at the 2000 Summer Olympics – Men's	22
Location	21	http://dbpedia.org/resource/Akalwadi	Akalwadi	31
Location	22	http://dbpedia.org/resource/Chitita	Chitita	28
Location	23	http://dbpedia.org/resource/Kuleh_Bayan	Kuleh Bayan	26
Location	24	http://dbpedia.org/resource/Phong_Thạnh_Tây	Phong Thạnh Tây	34
Location	25	http://dbpedia.org/resource/Reamer_Barn	Reamer Barn	28
Location	26	http://dbpedia.org/resource/Richmond–Petersburg_Turnpike	Richmond–Petersburg Turnpike	34
Location	27	http://dbpedia.org/resource/Uelsby	Uelsby	40
Location	28	http://dbpedia.org/resource/Wehlaberg	Wehlaberg	22
Location	29	http://dbpedia.org/resource/Wernshausen	Wernshausen	26
Location	30	http://dbpedia.org/resource/Yayoidai_Station	Yayoidai Station	24
Species	31	http://dbpedia.org/resource/African_grey_hornbill	African grey hornbill	33
Species	32	http://dbpedia.org/resource/Bornean_mountain_ground_squirrel	Bornean mountain ground squirrel	24
Species	33	http://dbpedia.org/resource/Eastern_Sumatran_rhinoceros	Eastern Sumatran rhinoceros	29
Species	34	http://dbpedia.org/resource/Enallagma_truncatum	Enallagma truncatum	22
Species	35	http://dbpedia.org/resource/Lepiota_helveola	Lepiota helveola	28
Species	36	http://dbpedia.org/resource/Lygodium_microphyllum	Lygodium microphyllum	57
Species	37	http://dbpedia.org/resource/Ovophis	Ovophis	23
Species	38	http://dbpedia.org/resource/Rubus_arizonensis	Rubus arizonensis	20
Species	39	http://dbpedia.org/resource/Siamese_mud_carp	Siamese mud carp	27
