eUri	outTNum	inTNum	totalTNum
http://dbpedia.org/resource/Ludwigsburg_University	30	1	31
http://dbpedia.org/resource/Hagar_Wilde	52	6	58
http://dbpedia.org/resource/E._K._Mawlong	32	0	32
http://dbpedia.org/resource/3WAY_FM	23	0	23
http://dbpedia.org/resource/Dallas_Keuchel	40	0	40
http://dbpedia.org/resource/Finn_Schiander	47	0	47
http://dbpedia.org/resource/Andrew_Kippis	57	0	57
http://dbpedia.org/resource/Roderick_Carr	89	1	90
http://dbpedia.org/resource/Adrian_Griffin	103	0	103
http://dbpedia.org/resource/Anthony_Beaumont-Dark	40	0	40
http://dbpedia.org/resource/Uelsby	40	0	40
http://dbpedia.org/resource/Yayoidai_Station	24	0	24
http://dbpedia.org/resource/Wernshausen	26	0	26
http://dbpedia.org/resource/Chitita	28	0	28
http://dbpedia.org/resource/Reamer_Barn	28	0	28
http://dbpedia.org/resource/Phong_Thạnh_Tây	34	0	34
http://dbpedia.org/resource/Wehlaberg	22	0	22
http://dbpedia.org/resource/Richmond–Petersburg_Turnpike	34	0	34
http://dbpedia.org/resource/Akalwadi	31	0	31
http://dbpedia.org/resource/Kuleh_Bayan	26	0	26
http://dbpedia.org/resource/The_Crowd_Snores	22	0	22
http://dbpedia.org/resource/Sting_Me	36	0	36
http://dbpedia.org/resource/Touch_of_Death_(1961_film)	20	0	20
http://dbpedia.org/resource/Sketchy_EP_1	19	2	21
http://dbpedia.org/resource/Foppt_den_Dämon!	21	2	23
http://dbpedia.org/resource/Simon_(2004_film)	22	0	22
http://dbpedia.org/resource/Sky_(Faye_Wong_album)	36	2	38
http://dbpedia.org/resource/Hey_Boy_(Teddybears_song)	43	3	46
http://dbpedia.org/resource/King_of_the_Mountain_(film)	44	0	44
http://dbpedia.org/resource/Our_Leading_Citizen_(1939_film)	26	0	26
http://dbpedia.org/resource/Ovophis	20	3	23
http://dbpedia.org/resource/Siamese_mud_carp	27	0	27
http://dbpedia.org/resource/Lygodium_microphyllum	57	0	57
http://dbpedia.org/resource/Lepiota_helveola	28	0	28
http://dbpedia.org/resource/Trachelipus_dimorphus	22	0	22
http://dbpedia.org/resource/Rubus_arizonensis	20	0	20
http://dbpedia.org/resource/Eastern_Sumatran_rhinoceros	29	0	29
http://dbpedia.org/resource/African_grey_hornbill	33	0	33
http://dbpedia.org/resource/Bornean_mountain_ground_squirrel	24	0	24
http://dbpedia.org/resource/Enallagma_truncatum	22	0	22
http://dbpedia.org/resource/2011_League_of_Ireland_Cup_Final	22	1	23
http://dbpedia.org/resource/Triathlon_at_the_2000_Summer_Olympics_–_Men's	21	1	22
http://dbpedia.org/resource/Battle_of_Bregalnica	48	3	51
http://dbpedia.org/resource/Burgery_ambush	28	0	28
http://dbpedia.org/resource/2009–10_Swiss_Cup	23	0	23
http://dbpedia.org/resource/Massacre_on_34th_Street	22	3	25
http://dbpedia.org/resource/2012–13_UEFA_Champions_League	19	1	20
http://dbpedia.org/resource/Battle_of_Rottofreddo	35	0	35
http://dbpedia.org/resource/2011_Kor_Royal_Cup	20	2	22
http://dbpedia.org/resource/2011_Sparta_Prague_Open	24	0	24
eUri	outTNum	inTNum	totalTNum
http://dbpedia.org/resource/Fabrice_Gautrat	49	0	49
http://dbpedia.org/resource/Najmadin_Shukr_Rauf	46	2	48
http://dbpedia.org/resource/Hiroshi_Mori_(writer)	55	2	57
http://dbpedia.org/resource/Cindy_Mackey	50	0	50
http://dbpedia.org/resource/Edmund_Smith_Conklin	29	0	29
http://dbpedia.org/resource/Ashot_I_of_Iberia	66	2	68
http://dbpedia.org/resource/Svyatoslav_Tanasov	45	0	45
http://dbpedia.org/resource/Storme_Warren	38	0	38
http://dbpedia.org/resource/William_Anthony_Hughes	55	0	55
http://dbpedia.org/resource/Momchil_Tsvetanov	71	4	75
http://dbpedia.org/resource/Jalalia,_Khyber_Pakhtunkhwa	33	0	33
http://dbpedia.org/resource/Darreh_Dang	39	0	39
http://dbpedia.org/resource/Zarudcze	34	0	34
http://dbpedia.org/resource/Muławki	35	0	35
http://dbpedia.org/resource/Sauxillanges	35	0	35
http://dbpedia.org/resource/Pinnacle_Mountain_(South_Carolina)	36	0	36
http://dbpedia.org/resource/Kings_Ripton	37	0	37
http://dbpedia.org/resource/Kotumachagi	37	0	37
http://dbpedia.org/resource/Stara_Bučka	36	0	36
http://dbpedia.org/resource/Saint-Raphaël,_Var	40	27	67
http://dbpedia.org/resource/Drama_City	31	0	31
http://dbpedia.org/resource/Politiken	43	0	43
http://dbpedia.org/resource/Intensive_Care_Medicine_(journal)	29	0	29
http://dbpedia.org/resource/Terrorist_Threats	49	2	51
http://dbpedia.org/resource/Wide_Awake_Drunk	30	1	31
http://dbpedia.org/resource/392_(album)	21	2	23
http://dbpedia.org/resource/It's_Still_Rock_and_Roll_to_Me	32	2	34
http://dbpedia.org/resource/Time_(Dave_Clark_album)	31	0	31
http://dbpedia.org/resource/Rebel_Love_Song	30	3	33
http://dbpedia.org/resource/If_(Glasvegas_song)	24	1	25
http://dbpedia.org/resource/Melaleuca_sheathiana	20	0	20
http://dbpedia.org/resource/Amphisbaena_ridleyi	35	0	35
http://dbpedia.org/resource/Hilarographa_excellens	22	0	22
http://dbpedia.org/resource/Bryotropha_plantariella	23	0	23
http://dbpedia.org/resource/Inverted_repeat-lacking_clade	23	0	23
http://dbpedia.org/resource/Balanites	18	3	21
http://dbpedia.org/resource/Thaia_saprophytica	21	0	21
http://dbpedia.org/resource/Stemonoporus_laevifolius	27	0	27
http://dbpedia.org/resource/Pseudanos_trimaculatus	23	0	23
http://dbpedia.org/resource/Trichoscypha_cavalliensis	25	0	25
http://dbpedia.org/resource/2008_Copa_América_–_FIFA_Futsal	27	0	27
http://dbpedia.org/resource/2013_Slovak_Cup_Final	22	2	24
http://dbpedia.org/resource/Battle_of_Cepeda_(1820)	24	1	25
http://dbpedia.org/resource/Battle_on_the_Elster	36	0	36
http://dbpedia.org/resource/1960_Glover_Trophy	31	0	31
http://dbpedia.org/resource/Operation_Hump	51	3	54
http://dbpedia.org/resource/2010_Belgian_Super_Cup	23	2	25
http://dbpedia.org/resource/1967_Italian_Grand_Prix	36	1	37
http://dbpedia.org/resource/Battle_of_Calicut_(1502)	29	0	29
http://dbpedia.org/resource/2008_Copa_del_Rey_Final	24	2	26
eUri	outTNum	inTNum	totalTNum
http://data.linkedmdb.org/resource/film/14299	20	6	26
http://data.linkedmdb.org/resource/film/41573	25	2	27
http://data.linkedmdb.org/resource/film/12710	24	5	29
http://data.linkedmdb.org/resource/film/2108	34	6	40
http://data.linkedmdb.org/resource/film/2572	32	3	35
http://data.linkedmdb.org/resource/film/7963	25	5	30
http://data.linkedmdb.org/resource/film/6213	39	8	47
http://data.linkedmdb.org/resource/film/6191	29	3	32
http://data.linkedmdb.org/resource/film/14438	32	8	40
http://data.linkedmdb.org/resource/film/6468	20	5	25
http://data.linkedmdb.org/resource/film/41408	23	1	24
http://data.linkedmdb.org/resource/film/12398	39	3	42
http://data.linkedmdb.org/resource/film/4501	35	3	38
http://data.linkedmdb.org/resource/film/2381	38	10	48
http://data.linkedmdb.org/resource/film/8446	31	4	35
